Impact ID,Title,Post Date,Start Date,End Date,Description,Categories,Places
30582,U.S. beef prices continue to rise,7/9/14,1/1/14,8/12/15,"Most beef retail prices remained at record highs, according to the USDA’s Economic Research Service in July.  Prices were nearly 11 higher than July 2014 and would remain so as the U.S. cattle industry rebuilds its herds. Omaha World Herald (Neb.), Aug. 12, 2015Retail beef prices averaged $6.08 per pound for all-fresh beef, which was 14 percent higher than one year ago, according to the U.S. Department of Agriculture.  Beef supplies were particularly tight due to the lingering effects of years of drought, which resulted in more cattle sales in past years, and fewer cattle sales at present as ranchers rebuild herds.  Houston Chronicle, May 23, 2015Beef prices climbed 19 percent in January, compared to January 2014, according to the U.S. Department of Agriculture's Economic Research Service.  The cost of beef is expected to continue to rise another 5 to 6 percent throughout the year.USA Today (Va.), Feb. 28, 2015The wholesale price of 100 pounds of beef brisket climbed to $334, compared to $159 five years ago and $232 in 2014, according to the U.S. Department of Agriculture.  The meat’s popularity and drought in Texas drove the price up over the past few years.Washington Post (D.C.), Feb. 24, 2015The average price of ground beef in the U.S. climbed to $4.60 per pound in December, nearly 18 percent higher than December 2013 when the price was $3.90, according to the Bureau of Labor Statistics.  Beef prices remain higher than ever because extensive drought kept the beef herd at a 63-year low one year ago.Lincoln Journal Star (Neb.), Feb. 6, 2015Choice beef retail prices averaged about $6.31 per pound in December, an increase of 0.1 percent since November, as reported in the Lubbock Avalanche-Journal.  The United States Department of Agriculture’s data show that figure was 0.1 higher than in November and 17.7 percent higher than one year ago.  The demand for beef was at a record high.Wichita Falls Times Record News (Texas), Jan. 27, 2015“All Fresh” retail beef rose another 5 cents during October to a new high of $5.96 per pound, according to the U.S. Department of Agriculture, as reported by CattleFax.  “All Fresh” reflects the composite price for all fresh beef, in contrast to frozen or imported beef, and looks like it will average 14 percent higher for 2014, compared to last year.  USDA “Choice” retail beef fell 2 cents in October to $6.24 per pound, but still seems to be headed to be 13 percent higher on average this year, in comparison with 2013, reported CattleFax.  Brownsville Herald (TX), Dec. 1, 2014Increased demand for beef overseas and years of drought in the U.S. have caused beef prices to continue climbing.  The average price of 81 percent lean ground beef was $2.18 per pound, which is 24 percent higher than at this time last year, said an analyst at CattleFax.  Fast-food restaurants were seeking ways to promote different items to cushion the impact of rising beef prices.Fox News (Los Angeles, Calif.), Nov. 6, 2014The U.S. composite price for choice beef rose to $2.45 per pound in September, an increase from September 2013 when it was already high at $1.94 per pound.  For comparison, the composite price for choice beef was $1.41 in September 2009.Pittsburgh Post-Gazette (Pa.), Oct. 19, 2014Beef production was 2.09 billion pounds in July, which was 9 percent lower than July 2013.  Slaughter numbers were also down 10 percent at 2.6 million head, but live weights were up slightly, compensating for fewer animals.AgWeb.com (Mexico, Mo.), Aug. 22, 2014Consumer ground beef prices rose 12 percent this year to a new high of $3.884 per pound in July.  The cost of boneless sirloin steak also rose 16 percent to a record high of $7.87 per pound.  Drought and the smallest cattle herd in 63 years contributed to the high price of beef.Washington Post (D.C.), Aug. 18, 2014The price of wholesale beef climbed 24 percent since the start of 2014 to a record $2.4865 per pound.  Cattle prices have risen 15 percent.  Washington Post (D.C.), July 3, 2014","Agriculture, Society & Public Health",IMW
31172,High meat prices in 2014,12/10/14,1/1/14,10/31/14,"The California drought has taken a bite out of grain and forage production, leading to higher feed costs for chickens, pigs and cows and translating to higher meat prices.  The U.S. Department of Agriculture reported that retail beef prices climbed to a new high of $5.96 per pound in October.  From the start of 2014 through October, retail prices on all fresh meats have been about 12.4 percent higher than in 2013, said Steve Meyer, a livestock market analyst and president of Paragon Economics.  Drought, disease and demand are factors driving up meat prices.CBS News, Dec. 10, 2014","Agriculture, Society & Public Health",IMW
31413,Beef prices rose 23.6 percent in 2014,3/12/15,1/1/14,12/31/14,"In 2014, the cost of beef rose 23.6 percent as the lingering effects of the Midwestern drought kept prices high.  Beef prices are expected to continue climbing another 5 to 6 percent in 2015. Los Angeles Times, March 10, 2015","Agriculture, Society & Public Health",IMW
29769,Announcement of National Drought Resilience Partnership,11/15/13,11/14/13, ,"A drought preparedness program was announced by Obama administration officials to help communities get ready for impending drought and to know how best to respond when droughts do occur.  The U.S. Department of Agriculture and the National Oceanic and Atmospheric Administration will head up the project.  Agriculture Secretary Tom Vilsack revealed the National Drought Resilience Partnership, involving the Department of Interior, the Department of Energy, the Environmental Protection Agency, the Army Corps of Engineers and the Federal Emergency Management Administration.  The aim is to prepare communities and individuals who depend upon regular rainfall for their livelihoods and equip them with mitigation strategies.  ABC News, Nov. 14, 2013","Agriculture, Relief, Response & Restrictions, Water Supply & Quality",IMW
29745,"The number of cattle on feed fell to 10.144 million, the lowest October count since 1998",11/11/13,10/1/13, ,"The number of cattle on feed fell to 10.144 million, the lowest October count since 1998.  Feedlot numbers have been dropping since September 2012 due to drought, high feed costs and fewer imports of Mexican cattle.  The start of herd rebuilding has also contributed to the low feedlot numbers.  Capital Press (Salem, Oregon), Nov. 5, 2013",Agriculture,IMW
30878,Food costs in the U.S. rose 2.7 percent over the last 12 months as the California drought cut into crop yields,9/19/14,9/1/13,8/31/14,"Food costs rose 2.7 percent over the last 12 months as the California drought cut into crop yields.  In August, food costs inched up 0.2 percent after a 0.4 percent increase in July. Reuters (New York), Sept. 17, 2014","Agriculture, Society & Public Health",IMW
29423,"Drought, heat and heavy rainfall contributed to the explosion in the mosquito population in parts of the U.S. in 2013",8/21/13,8/20/13, ,"Drought, heat and heavy rainfall contributed to the explosion in the mosquito population in parts of the U.S.  In the Southeast, two years of drought were followed by excessive rains in 2013, reviving the deposited mosquito eggs from the past several years, giving the region three years’ worth of mosquitoes in one summer, stated an insect expert from the University of Florida.  Mosquito traps in Connecticut have caught twice as many bugs as usual.  Minnesota mosquito traps held thrice as many bugs as the 10-year average.  In central California, bug traps contained five times the average of one key species.  The Lee County, Florida mosquito control office has fielded more than 300 calls daily from residents—far more calls than usual—as mosquitoes swarm the area.  Mosquito inspectors noted more than 100 mosquitoes landing on their legs per minute in some parts of Lee County.  A mosquito researcher at the University of Florida and head of the mosquito association said that the overabundance of mosquitoes has kept her indoors rather than out in her backyard in the past month.  Duluth News Tribune (Minn.), Aug. 20, 2013","Plants & Wildlife, Society & Public Health",IMW
29459,Drought causes large fires in western states,8/25/13,8/16/13, ,"Nine large blazes blackened parts of Idaho on Aug. 15, with forecasts for strong winds and extremely low humidity, raising the possibility of “wind driven events with explosive fire growth on new and ongoing fires.”  NBC (NY), August 16, 2013",Fire,IMW
29397,Wildfires burned in nearly a dozen states in the Western U.S. as parched landscapes played a role in extreme fire behavior,8/19/13,8/14/13, ,"Wildfires burned in nearly a dozen states in the Western U.S. as parched landscapes played a role in extreme fire behavior.  Land managers warned visitors to thoroughly extinguish campfires before moving on, as drought heightened the fire danger.  In Grand Teton National Park and Bridger-Teton National Forest in northwestern Wyoming, campers have left 132 campfires smoldering this summer.  Amarillo Globe-News (Texas), Aug. 14, 2013",Fire,IMW
29679,"The U.S. feedlot inventory on Sept. 1 was 9.88 million, the lowest since 2003",10/11/13,8/1/13,9/1/13,"The U.S. feedlot inventory on Sept. 1 was 9.88 million, the lowest since 2003, and 7 percent lower than September 2012.  The August placement total was 1.79 million, which was 11 percent lower than last year.  The weight group seeing the biggest decrease in placements was animals weighing less than 700 pounds.  Drought continues to force ranchers to sell cattle as hay and water supplies decline.  Drovers Cattle Network (Lenexa, Kan.), Sept. 23, 2013",Agriculture,IMW
29457,Drought caused minimal food price inflation,8/25/13,7/30/13, ,"USDA economist Ricky Volpe says that drought in 2012 drove food prices up just 0.5 percent.  WHO-TV NBC 13 Des Moines (IA), July 30, 2013",Agriculture,IMW
29364,"Across the U.S., feedlot placements in June dropped 5 percent",8/1/13,6/1/13,6/30/13,"Across the U.S., feedlot placements in June dropped 5 percent as drought, poor pasture conditions and limited water supplies led livestock producers to continue to sell cattle.  June feedlot placements in Iowa were down 23 percent, compared to June 2012, and were 9 percent lower in Kansas.  The total feedlot population in the U.S. was 3 percent lower than a year ago and sales to slaughterhouses were 4 percent lower.  Topeka Capital-Journal (Kan.), July 29, 2013",Agriculture,IMW
28616,Beef prices at record highs as drought kept feed prices high,5/31/13,5/30/13,8/10/13,"On July 1, 2013, the U.S. beef herd was the smallest since 1973 as high feed costs kept ranchers culling and slaughtering cattle in 2012.  Retail ground beef prices in June 2013 were $3.382 per pound or 13 percent higher than the previous year and were near the record price of $3.407 set in January 2013, according to the U.S. Bureau of Labor Statistics.  Wholesale beef prices fell 12 percent since hitting a record high of $2.1137 per pound on May 23, 2013  as increased slaughtering rates have increased beef supplies, according to government data.  The government predicted that beef production in 2014 will fall by 4.9 percent to 10.93 metric tons for a fourth year of declining production.  Wilmington News Journal (Delaware Online), Aug. 10, 2013Beef prices are at record highs as drought keeps feed prices high and contributes to the shrinking of the cattle herd to the lowest level since 1952.  The average price of steak is $4.81 per pound, while ground beef sells for $3.51 per pound.  Prices peaked just before Memorial Day weekend with the average wholesale price of beef at $2.06 on May 23, compared with $1.94 the previous year, according to a market analyst with Urner Barry, a publisher of market news on agricultural commodities, based in Bayville, N.J.  The high cost of beef cuts has led restaurants to use secondary cuts of meat and tenderize them to avoid raising menu prices.  USA Today, May 30, 2013","Agriculture, Society & Public Health",IMW
28531,"Federal officials met with others in San Diego, California to discuss the future of drought-stricken Colorado River",5/28/13,5/28/13, ,"Federal officials met in San Diego with water agency officials, environmentalists, farmers and Indian tribe leaders to discuss the future of the drought-stricken Colorado River.  The goal is to conserve water in an effort to avoid cutbacks.  Forty million people in the West, including the cities of Los Angeles, San Diego, Denver, Las Vegas and Phoenix all rely on the Colorado River, which also irrigates 4 million acres of cropland for 15 percent of the nation’s food supply.  Three committees will be formed to consider issues involving municipal water agencies, agriculture and environmental groups.  Los Angeles Times (Calif.), May 27, 2013","Society & Public Health, Water Supply & Quality",IMW
28699,Greater percentage of cattle on pastures rated poor to very poor in 2013,6/7/13,5/22/13, ,"An Ag Economics professor from Kansas State University assessed USDA data on range and pasture conditions and found that 53 percent of the beef cows were in states with at least 40 percent poor or very poor range and pasture conditions at the start of the 2013 grazing season. Last year, only 20 percent of the beef cows were in poor to very poor pastures at the start of the grazing season.  Drovers Cattle Network (Lenexa, Kan.), May 22, 2013","Agriculture, Plants & Wildlife",IMW
28445,"U.S. winter wheat crop estimated to be 10 percent smaller than the 2012 harvest, due to drought, freezes",5/14/13,5/10/13, ,"The National Agricultural Statistics Service anticipates that the U.S. winter wheat crop will yield 1.49 billion bushels, 10 percent less than the 2012 harvest, since 32.7 million acres—6 percent fewer than in 2012—were planted with wheat and drought and late spring freezes hampered the crop’s growth.  The average yield is expected to be 45.4 bushels per acre, 1.8 bushels per acre less than last year.  Hard red winter wheat production is predicted to be 768 million bushels or 23 percent lower than in 2012.Texas’ winter wheat is in particularly bad shape with a forecast for just 54 million bushels, in comparison with the 96 million bushels produced during 2012, despite drought.  Texas was the country’s second largest wheat producer in 2010, behind Kansas.  NASS forecasted a Kansas hard red winter wheat harvest of 299.7 million bushels, 22 percent lower than in 2012 when 382.2 million bushels were produced.  This estimate is lower than the one put forth by the participants of the Kansas wheat tour who predicted a harvest of 313 million bushels.  El Paso Times (Texas), May 11, 2013; USDA NASS Crop Production Report, May 10, 2013",Agriculture,IMW
28482,Hay stocks nationwide on May 1 were 14.2 million tons as drought limited hay production in 2012,5/16/13,5/1/13, ,"Hay stocks nationwide on May 1 were 14.2 million tons, the smallest amount since 2007 and the least amount on hand on May 1 in data going back to 1973.  May 1 hay stocks were 36 percent below the 10-year average.  The lowest hay stocks compared to the 10-year average were found in the Midwest from Ohio to South Dakota to Kansas and Missouri.  In Illinois, hay stocks were down 52 percent; Indiana, down 44 percent; Iowa, down 62 percent; Kansas, down 58 percent; Missouri, down 53 percent; Nebraska, down 45 percent;  and South Dakota, down 54 percent.  Pasture and range conditions were worse this year than last in many areas.  Bartlesville Examiner-Enterprise (Okla.), May 16, 2013",Agriculture,IMW
28301,Drought and high demand for water led American Rivers to put the Colorado River on their list of endangered waterways,4/18/13,4/16/13, ,"Drought and high demand for water in the Southwestern U.S. led American Rivers to put the Colorado River at the top of their list of endangered waterways in 2013.  Forty million people rely on the river, which is nearly used up by the time it reaches Mexico.  New York Times (N,Y.), April 16, 2013",Water Supply & Quality,IMW
28212,Hay supply in U.S. lowest since 1974,3/19/13,2/23/13, ,"Nationwide, hay supplies have not been so low since 1974, according to the U.S. Department of Agriculture, since drought in various parts of the country has cut into hay production over the past few years.  Milwaukee Journal Sentinel (Wis.), Feb. 23, 2013",Agriculture,IMW
28049,The corn surplus carryover was just 602 million bushels as drought in 2012 reduced corn production,1/22/13,1/12/13, ,"The corn surplus carryover was just 602 million bushels, which was the smallest carryover since 1996, as drought in 2012 reduced corn production, according to the U.S. Department of Agriculture.  The amount is quite a bit lower than the carryover last year, which was 900 million bushels.  High corn prices near $8 per bushel are possible throughout 2013.  Des Moines Register (Iowa), Jan. 12, 2013",Agriculture,IMW
28077,The number of U.S. cattle on feedlots on January 1 fell to 11.2 million,1/30/13,1/1/13, ,"The number of U.S. cattle on feedlots on January 1 fell to 11.2 million, 5.6 percent lower than 2011, according to the Cattle on Feed report for January.  The number of December placements was roughly 0.5 percent lower than the previous year for the seventh straight month of reduced feedlot placements. There was less suitable winter pasture and other drought-related concerns in the midsection of the country.  Placements were expected to be higher than they were; marketings were anticipated to be lower than they were; leading to an overall decrease in the number of livestock on feed.  Drovers Cattle Network (Kan.), Jan. 28, 2013",Agriculture,IMW
29425,Wildfires burning in the U.S. have cost more than $1 billion to suppress,8/21/13,1/1/13,8/20/13,"Wildfires burning in the U.S. have cost more than $1 billion to suppress as the National Interagency Fire Center in Boise raised the national wildfire preparedness level on Aug. 20 to the top level, the highest it has been in the last five years.  So far this year, 33,000 fires have charred 3.4 million acres, 963 homes and 30 commercial buildings and cost 30 firefighters their lives.Two wildfires in Idaho rank as the center’s top priority fires, directing crews and resources to the Beaver Creek fire, which led to the evacuation of 1,250 homes in Ketchum and Sun Valley and cost $11.6 million in fire suppression costs through Aug. 19.  The fire was 9 percent contained and had blackened 160 square miles.The director of operations for the fire center stated that there were not enough crews and equipment to address the 48 uncontained fires burning in the U.S.  Resources are moved to areas facing the greatest threats, with the goal of suppressing fires while they are still small.  Norman Christensen, an expert in the environmental impacts of forest fires with Duke University’s Nicholas School of the Environment stated, “Certainly drought in some areas has contributed to the number and intensity of fire events,” he wrote in an email. “But many of the fires have been in highly populated, wilderness-urban interface areas such as Colorado Springs, Sun Valley, Idaho, and the west slope of the Sierra Nevada. That adds greatly to costs since so many more resources are required to protect built structures.”  Great Falls Tribune (Mont.), Aug. 20, 2013",Fire,IMW
29673,Illinois and much of the U.S. have seen fewer tornadoes during 2013 on account of drought and the lack of severe weather,10/10/13,1/1/13,10/9/13,"Illinois and much of the U.S. have seen fewer tornadoes during 2013 on account of drought and the lack of severe weather.  Springfield State Journal-Register (Ill.), Oct. 9, 2013",Society & Public Health,IMW
29727,Drought and the receding level of Lake Powell on the Utah/Arizona border led to a decrease in water releases in 2013,10/30/13,1/1/13,10/26/13,"Drought and the receding level of Lake Powell led to a decrease in water releases from the lake in 2013 to just 7.48 million acre-feet.  In a typical year, the amount of water released from Lake Powell would be at least 8.23 million-acre feet.The Colorado River provides water for more than 30 million people over an area that produces about a quarter of the country’s gross domestic product.  Reno Gazette-Journal (Nev.), Oct. 26, 2013","Relief, Response & Restrictions, Water Supply & Quality",IMW
29857,Fire activity was below normal in the West in 2013,12/16/13,1/1/13,12/15/13,"Despite predictions for a grim fire season in the West, fire activity was below normal in 2013 because drought prevented the growth of fuel for wildfires.  Dubuque Telegraph Herald (Iowa), Dec. 15, 2013",Fire,IMW
29891,"Drought, smaller U.S. cattle herd keeps beef prices high",1/7/14,1/1/13,10/31/13,"Fresh beef in the U.S. averaged $4.92 per pound between January and October 2013, 5.3 percent higher than the same period in 2012, according to reports from the Livestock Marketing Information Center and the U.S. Meat Federation, a trade association.  Increasing beef exports have also contributed to the rise in beef prices.  Houston Chronicle (Texas), Jan. 4, 2014",Society & Public Health,IMW
30092,U.S. cattle herd numbers,3/10/16,1/1/13,1/1/16,"The U.S. cattle inventory rose to 92 million head on Jan. 1, an increase of 3.5 million cattle in two years, indicating aggressive expansion as the return of moisture allows ranchers to rebuild herds rapidly after years of drought forced them to cull herds.  The beef herd grew by 3.4 percent to 30.3 million head.AgWeb.com (Mexico, Mo.), March 10, 2016Drought reduced the national cattle herd in recent years, but the number of cattle in the country climbed over the last year from 87.7 million to 89.8 million on Jan. 1, 2015, for an increase of one percent. This is the first uptick in cattle numbers since 2007 and shows that herds are being rebuilt faster than expected, say some meat industry publications.Beef prices continued to set new highs.Lincoln Journal Star (Neb.), Feb. 6, 2015The U.S. cattle herd dropped 2 percent from 89.3 million head on Jan. 1, 2013 to 87.7 million head on Jan. 1, 2014, according to a report from the U.S. Department of Agriculture.  The number of heifers, or young female cattle for breeding, increased 2 percent over the last year to 5.47 million head, indicating that livestock producers are done for the most part with culling their herds and are looking to rebuild.  2014 is the sixth straight year that cattle numbers have decreased since 2007, when there were nearly 96.6 million cattle in the country.NorthernAg.net (Billings, Mont.), Feb. 3, 2014",Agriculture,IMW
30295,Vegetable and fruit prices rose 3 and 2 percent in 2013,4/22/14,1/1/13,4/20/14,"In 2013, vegetable and fruit prices in the U.S. rose 3 and 2 percent, respectively, according to the U.S. Department of Agriculture, as low water supplies affected production.  The agency expects a similar price increase in 2014 as more than three million acres out of the nine million acres of irrigated land in California receive no surface water, aside from rain.The USDA forecasts a 20 percent reduction in rice production and a 35 percent drop in cotton production in California this year as farmers leave fields fallow in response to very meager water allocations.The New York Times, April 20, 2014","Agriculture, Society & Public Health",IMW
30757,Drought cost the Western U.S. about 63 trillion gallons of water,8/22/14,1/1/13,8/21/14,"Drought cost the Western U.S. about 63 trillion gallons of water over the past year and a half, say researchers from UC San Diego’s Scripps Institution of Oceanography and the U.S. Geological Survey, allowing the Earth’s surface to rise about 0.16 inches during that time.  In the Sierra Nevada and the Coast Ranges in California, the loss was even greater as the surface rose as much as 0.6 inches.  The uplift was detected across the Western U.S. using GPS data, normally used to detect minor changes caused by earthquakes.  Sacramento Bee (Calif.), Aug. 21, 2014","Society & Public Health, Water Supply & Quality",IMW
27971,"Sheep producers across the U.S. were struggling to remain viable after a hot, dry summer parched pastures, reduced water supplies and drove up corn and hay prices",12/12/12,12/10/12, ,"Sheep producers across the U.S. were struggling to remain viable after a hot, dry summer parched pastures, reduced water supplies and drove up corn and hay prices.  Lamb prices have fallen over the past year or so with imported foreign meat, meaning that lamb producers were losing money.  Some ranchers and others suspect that meatpackers may be keeping prices for lamb artificially low.  New York Times (N.Y.), Dec. 10, 2012","Agriculture, Plants & Wildlife, Water Supply & Quality",IMW
28237,Corn stockpiles in the U.S. fell roughly 38 percent from the start of December 2012,3/27/13,12/1/12,3/1/13,"Corn stockpiles in the U.S. fell roughly 38 percent from the start of December 2012 to 4.995 billion bushels (126.9 million metric tons) on March 1, 2013 as ethanol refiners purchased the meager amount of corn grown during an exceedingly dry 2012.  The drop in corn supplies was the largest decline since 1975, according to an average of estimates produced by 31 analysts and compiled by Bloomberg.  Bloomberg (N.Y.), March 27, 2013",Agriculture,IMW
27885,Food banks across the U.S. struggling to provide enough food,11/28/12,11/21/12, ,"Food banks across the U.S. were struggling to provide food for roughly 50 million people seeking assistance.  The government made $352.5 million in food purchases through The Emergency Food Assistance Program (TEFAP) in the fiscal year that ended on Sept. 30, 2012, but the amount of commodities purchased this year was less than half of the $723.7 million in food purchased three years ago.  TEFAP aims to support agricultural prices and alleviate surpluses through its purchases, which wasn’t needed so much this year as in other years.  Food purchased through the TEFAP is also used to provide food banks with needed supplies, but there is much less to go around lately, leaving food bank shelves bare, despite increased need.  Fort Lauderdale Sun-Sentinel & SouthFlorida.com (Fla.), Nov. 21, 2012",Society & Public Health,IMW
27834,The Environmental Protection Agency refused to waive the mandate requiring the production of 13.2 billion gallons of fuel in 2012,11/19/12,11/16/12, ,"The Environmental Protection Agency refused to waive the mandate requiring the production of 13.2 billion gallons of fuel this year, despite many requests.  Intense drought this summer reduced the corn crop, driving corn prices to record levels, making it exorbitant to feed livestock or purchase corn for the production of ethanol.  The governors of Arkansas, North Carolina, New Mexico, Georgia, Texas, Virginia, Maryland, Delaware, Utah, and Wyoming, poultry, pork and cattle producers, members of Congress and various industries all wanted the mandate lifted, but the EPA said there was no evidence of “severe economic harm” to any state or region of the U.S., warranting a change in the mandate.  Reno Gazette-Journal (Nev.), Nov. 16, 2012","Agriculture, Business & Industry, Relief, Response & Restrictions",IMW
27791,Ethanol producers in the U.S. are losing $0.36 per gallon,11/13/12,11/11/12, ,"Ethanol producers in the U.S. are losing $0.36 per gallon produced, compared to a profit of $0.24 per gallon a year ago, according to an estimate made by Bloomberg, based on assessment of federal date, December corn and ethanol contracts posted to the Chicago Board of Trade.  Drought drove corn prices to record highs earlier in the year.  The majority of ethanol producing plants are located in the Midwest.  Sioux Falls Argus Leader (S.D.), Nov. 11, 2012",Business & Industry,IMW
29739,U.S. chicken processors lost 4 to 5 cents per pound in late 2012,11/7/13,11/4/12, ,"U.S. chicken processors lost 4 to 5 cents per pound in late 2012, due to high corn prices, according to the National Chicken Council.  St. Louis Post-Dispatch (Mo.), Nov. 4, 2013",Agriculture,IMW
27716,U.S. Department of Agriculture lowered its crop yield forecast,11/1/12,10/12/12, ,"The U.S. Department of Agriculture lowered its crop yield forecast after drought continued to wither crops across the nation this summer.  The average corn yield is expected to hover around 122 bushels per acre, compared with the national average in 2011 of 147.2 bushels per acre.  The total corn production for the country is expected to be 10.7 billion bushels, the smallest harvest since 2006.  WHO-TV NBC 13 Des Moines (Iowa), Oct. 12, 2012",Agriculture,IMW
27801,"Turkey production was down 4 percent in October, due to high feed prices",11/14/12,10/1/12,10/31/12,"Turkey production was down 4 percent in October, due to high feed prices, stated the director of research and commodity services for the Iowa Farm Bureau.  He also noted that high feed prices were the driving force behind the rising poultry and meat prices that will continue into 2013.  Des Moines Register (Iowa), Nov. 10, 2012","Agriculture, Society & Public Health",IMW
27930,U.S. pork production reached an all-time record high in October when 10.86 million head were slaughtered,12/5/12,10/1/12,10/31/12,"U.S. pork production reached an all-time record high in October when 10.86 million head were slaughtered, according to the U.S. Department of Agriculture.  The October figure was 10 percent higher than the slaughter count from October 2011.  Drought drove feed prices to new highs, forcing pork producers to liquidate herds rather than purchase expensive feed.  Pork production was 2.21 billion pounds or 9 percent higher than last year.  Reuters (N.Y.), Nov. 23, 2012",Agriculture,IMW
27608,Nation’s cattle producers becoming creative in finding alternative feed for their cattle,10/4/12,9/23/12, ,"The nation’s cattle producers were becoming creative in finding alternative feed for their cattle as drought dries up pasture and drastically cuts hay production.  Unconventional food products for cattle feed, such as cookies, gummy worms, marshmallows, fruit loops, orange peels, dried cranberries and even chocolate, were instead being used to feed cattle.  A northern Indiana man fed his dairy cattle ice cream sprinkles.  More common alternative feeds are distillers grains, cottonseed hulls, rice products, potato products, peanut pellet and wheat middlings.  Orlando Sentinel (Fla.), Sept. 23, 2012",Agriculture,IMW
27517,Disaster Distress Hotline available for people enduring natural or man-made disaster,9/5/12,9/5/12, ,"Economic stress has risen for rural families since drought devastated crops this summer.  Those in need of disaster crisis counseling were urged to call the Disaster Distress Hotline 1-800-985-5990, which is the first nationwide hotline devoted to offering disaster crisis counseling.  The service is free, confidential and multilingual and is available to people who have experienced a natural or man-made disaster or tragedy.  Rapid City Journal (S.D.), Sept.  5, 2012","Relief, Response & Restrictions, Society & Public Health",IMW
28264,"Corn exports plummeted 54 percent since Sept. 1, 2012",4/9/13,9/1/12,4/8/13,"Corn exports plummeted 54 percent since Sept. 1, 2012, leaving the forecast for stockpiles at the end of August 2013 near 836 million bushels, or 32 percent higher than the USDA forecast in March.  Corn prices have fallen, too, as farmers plant more acres of corn than they have in the last 77 years.  The price of corn futures has dropped 8.5 percent this month to $6.365 on the Chicago Board of Trade.  Washington Post (D.C.), April 8, 2013",Agriculture,IMW
29714,Farmers and ranchers in 38 states who previously were forced to sell livestock due to drought have an extended period of time in which to replace the livestock and defer tax on any gains,10/28/13,9/1/12,8/31/13,"Farmers and ranchers in 38 states who previously were forced to sell livestock due to drought, like the drought currently affecting much of the nation, have an extended period of time in which to replace the livestock and defer tax on any gains from the forced sales, the Internal Revenue Service announced today.Farmers and ranchers who, due to drought, sell more livestock than they normally would may defer tax on the extra gains from those sales. To qualify, the livestock generally must be replaced within a four-year period. The IRS is authorized to extend this period if the drought continues.The one-year extension of the replacement period announced today generally applies to capital gains realized by eligible farmers and ranchers on sales of livestock held for draft, dairy or breeding purposes due to drought. Sales of other livestock, such as those raised for slaughter or held for sporting purposes, and poultry are not eligible.  Internal Revenue Service (DC), Oct. 18, 2013","Agriculture, Relief, Response & Restrictions",IMW
27552,The 2012 drought has likely been the worst for home foundations since  the late 1950s drought,9/12/12,8/31/12,1/8/13,"The 2012 drought has likely been the worst for home foundations since  the late 1950s drought, stated a board member of the Basement Health Association, a Dayton, Ohio-based trade group for basement and foundation repair businesses.  Homes from the Dakotas through Louisiana were faring the worst, but damage to foundations from drought has been reported in 40 of the contiguous U.S.  Experts estimate that drought damage to houses could reach $1 billion or more.  U.S. News and World Report, Aug. 31, 2012.  Homes in southern Minnesota manifest damage from drought as the soil shifts and sinks, leading to expensive repair bills.  Lacrosse Tribune (Wis.), Jan. 8, 2013",Society & Public Health,IMW
27502,Feedlots were losing $300 per animal to fatten cattle for slaughter,8/30/12,8/24/12, ,"Feedlots were losing $300 per animal to fatten cattle for slaughter, according to University of Missouri data.  The price of corn rose by 61 percent since June 15, increasing the cost of feeding livestock.  Drought reduced pasture and hay supplies, leading cattle producers to sell livestock, resulting in a small cattle herd and higher prices for beef.  The Denver Post (Colo.), Aug. 24, 2012",Agriculture,IMW
27467,The American Farm Bureau suggested that a national day of prayer be held to remember the people adversely affected by widespread drought,8/24/12,8/22/12, ,"The American Farm Bureau suggested that a national day of prayer be held to remember the people adversely affected by widespread drought.  Numerous individuals involved in agriculture and the Indiana Farm Bureau president also backed the idea.  WVUT-TV Vincennes University (Ind.), Aug. 22, 2012",Society & Public Health,IMW
27405,President Obama announced that the federal government would purchase as much as $170 million in meat to assist drought-affected producers,8/15/12,8/13/12, ,"President Obama announced that the federal government would purchase as much as $170 million in pork, lamb, chicken and catfish to assist producers who were struggling to feed their livestock during drought.  The meat will be directed to food banks and other federal food nutrition programs.  The USDA intends to purchase another $100 million in pork, $50 million in chicken, $10 million in lamb and $10 million in catfish.  The Defense Department will encourage its vendors to buy meat quickly.  Much of the meat will be frozen for use later.  TriValley Dispatch & TriValley Central (Ariz.), Aug. 15, 2012","Agriculture, Relief, Response & Restrictions",IMW
48014,Ethanol cost rising as drought hurts corn production,12/14/18,8/10/12, ,"The Dallas-Fort Worth area has the most expensive gasoline in Texas, with a gallon of gas costing $3.52 on average for regular unleaded.  The price of gasoline rose sharply by 13 percent, due to pressure from oil prices and the drought-related increase in the cost of ethanol, according to the weekly AAA Texas survey.  On average, Texans were paying $3.49 per gallon, while the national average climbed to $3.66.Dallas Morning News (Texas), Aug. 10, 2012","Agriculture, Energy",IMW
